Order ID,Order Date,Customer Name,City,State,Country,Region,Category,Sub Category,Product Name,Quantity,Unit Price,Discount (%),Sales,Revenue,Profit,Payment Method,Salesperson
100021,2025-05-24,Customer 433,City 6,Florida,USA,West,Stationery,Notebook,Notebook,2,376.74,5,715.81,715.81,160.91,Debit Card,Salesperson 3
100022,2025-04-06,Customer 772,City 28,Texas,USA,South,Accessories,Backpack,Backpack,9,151.37,20,1089.86,1089.86,333.2,Cash,Salesperson 16
100023,2025-01-03,Customer 400,City 9,New York,USA,East,Accessories,Backpack,Backpack,4,1297.65,0,5190.6,5190.6,645.98,Cash,Salesperson 18
100024,2025-03-04,Customer 766,City 11,California,USA,North,Accessories,Backpack,Backpack,3,288.9,5,823.36,823.36,281.22,PayPal,Salesperson 16
100025,2025-07-10,Customer 71,City 20,California,USA,South,Fashion,Shoes,Shoes,9,240.36,20,1730.59,1730.59,175.88,Cash,Salesperson 4
100026,2026-03-06,Customer 674,City 19,Illinois,USA,East,Fashion,Watch,Watch,4,870.48,0,3481.92,3481.92,860.85,UPI,Salesperson 7
100027,2025-11-04,Customer 469,City 11,California,USA,North,Stationery,Notebook,Notebook,4,402.09,5,1527.94,1527.94,399.34,Cash,Salesperson 20
100028,2025-05-16,Customer 358,City 29,California,USA,South,Fashion,Watch,Watch,2,114.52,5,217.59,217.59,47.13,UPI,Salesperson 10
100029,2025-01-09,Customer 684,City 27,Illinois,USA,East,Electronics,Headphones,Headphones,8,1251.45,10,9010.44,9010.44,2208.94,Credit Card,Salesperson 5
100030,2025-10-16,Customer 620,City 7,Washington,USA,East,Furniture,Desk,Desk,2,1335.12,20,2136.19,2136.19,260.55,Debit Card,Salesperson 9
100031,2026-03-10,Customer 284,City 2,California,USA,East,Fashion,Shoes,Shoes,8,380.43,0,3043.44,3043.44,319.32,Debit Card,Salesperson 9
100032,2025-04-25,Customer 78,City 29,Washington,USA,South,Electronics,Headphones,Headphones,8,829.76,15,5642.37,5642.37,1305.9,PayPal,Salesperson 2
100033,2025-11-12,Customer 374,City 29,California,USA,East,Stationery,Notebook,Notebook,10,831.03,15,7063.75,7063.75,808.17,Debit Card,Salesperson 8
100034,2025-06-08,Customer 243,City 28,Texas,USA,South,Electronics,Phone,Phone,6,1171.27,15,5973.48,5973.48,2048.52,Cash,Salesperson 1
100035,2025-09-12,Customer 274,City 6,Washington,USA,North,Electronics,Headphones,Headphones,6,1174.67,15,5990.82,5990.82,1776.9,Cash,Salesperson 2
100036,2025-08-22,Customer 229,City 1,Washington,USA,South,Accessories,Backpack,Backpack,4,303.36,15,1031.42,1031.42,179.89,Cash,Salesperson 11
100037,2026-06-06,Customer 410,City 22,Illinois,USA,East,Furniture,Desk,Desk,2,1450.5,10,2610.9,2610.9,456.41,Credit Card,Salesperson 4
100038,2026-03-21,Customer 354,City 24,Florida,USA,West,Furniture,Desk,Desk,3,872.98,10,2357.05,2357.05,212.91,PayPal,Salesperson 17
100039,2026-03-23,Customer 2,City 17,Illinois,USA,South,Electronics,Phone,Phone,7,1349.76,5,8975.9,8975.9,1335.39,UPI,Salesperson 14
100040,2025-11-04,Customer 520,City 10,Washington,USA,West,Electronics,Phone,Phone,6,936.62,0,5619.72,5619.72,1541.68,UPI,Salesperson 13
100041,2026-01-24,Customer 694,City 24,Texas,USA,East,Furniture,Desk,Desk,9,195.3,15,1494.05,1494.05,387.75,Cash,Salesperson 18
100042,2025-11-26,Customer 477,City 15,New York,USA,South,Electronics,Laptop,Laptop,5,433.94,15,1844.24,1844.24,538.8,PayPal,Salesperson 16
100043,2025-08-29,Customer 689,City 10,Texas,USA,South,Electronics,Headphones,Headphones,2,429.26,20,686.82,686.82,117.1,Debit Card,Salesperson 1
100044,2025-03-16,Customer 467,City 14,Washington,USA,South,Electronics,Laptop,Laptop,4,1475.98,20,4723.14,4723.14,1461.48,Cash,Salesperson 16
100045,2025-04-20,Customer 798,City 14,Texas,USA,South,Stationery,Pen,Pen,4,225.62,0,902.48,902.48,289.71,PayPal,Salesperson 15
100046,2026-04-21,Customer 684,City 17,Illinois,USA,East,Electronics,Laptop,Laptop,9,377.55,0,3397.95,3397.95,690.62,Cash,Salesperson 20
100047,2025-06-12,Customer 762,City 28,New York,USA,West,Fashion,Shoes,Shoes,7,1246.7,20,6981.52,6981.52,1399.07,UPI,Salesperson 8
100048,2025-03-21,Customer 731,City 10,Texas,USA,East,Furniture,Desk,Desk,9,729.47,5,6236.97,6236.97,961.37,UPI,Salesperson 11
100049,2025-06-06,Customer 724,City 7,California,USA,West,Fashion,Shoes,Shoes,2,211.87,5,402.55,402.55,73.84,Cash,Salesperson 11
100050,2026-02-03,Customer 789,City 19,Washington,USA,North,Fashion,Shoes,Shoes,8,626.58,5,4762.01,4762.01,1451.84,PayPal,Salesperson 13
100051,2026-03-06,Customer 552,City 24,Washington,USA,South,Accessories,Backpack,Backpack,1,1414.4,10,1272.96,1272.96,360.81,Cash,Salesperson 8
100052,2026-02-19,Customer 742,City 6,New York,USA,South,Furniture,Desk,Desk,7,731.03,15,4349.63,4349.63,742.72,PayPal,Salesperson 18
100053,2026-03-15,Customer 139,City 28,New York,USA,South,Electronics,Laptop,Laptop,7,889.88,0,6229.16,6229.16,639.52,Credit Card,Salesperson 9
100054,2026-01-24,Customer 285,City 25,New York,USA,East,Stationery,Pen,Pen,6,321.43,10,1735.72,1735.72,297.03,Credit Card,Salesperson 16
100055,2025-03-12,Customer 800,City 21,California,USA,North,Electronics,Laptop,Laptop,9,82.87,10,671.25,671.25,94.34,Debit Card,Salesperson 7
100056,2025-04-28,Customer 578,City 7,New York,USA,East,Electronics,Laptop,Laptop,10,232.81,5,2211.69,2211.69,459.73,UPI,Salesperson 6
100057,2025-06-17,Customer 319,City 4,Illinois,USA,North,Fashion,Watch,Watch,10,1445.78,0,14457.8,14457.8,4192.82,UPI,Salesperson 19
100058,2025-09-06,Customer 105,City 23,Florida,USA,North,Stationery,Pen,Pen,7,1412.5,5,9393.12,9393.12,944.19,PayPal,Salesperson 2
100059,2025-12-16,Customer 13,City 28,New York,USA,West,Stationery,Notebook,Notebook,9,645.43,10,5227.98,5227.98,515.57,Credit Card,Salesperson 14
100060,2026-06-19,Customer 667,City 9,Illinois,USA,West,Stationery,Notebook,Notebook,8,1062.43,15,7224.52,7224.52,921.54,Cash,Salesperson 14
100061,2025-03-30,Customer 286,City 29,New York,USA,South,Fashion,Watch,Watch,5,486.85,5,2312.54,2312.54,703.7,Cash,Salesperson 19
100062,2025-07-06,Customer 500,City 7,Florida,USA,East,Fashion,Watch,Watch,7,507.91,15,3022.06,3022.06,936.11,UPI,Salesperson 9
100063,2025-03-29,Customer 248,City 24,New York,USA,West,Fashion,Watch,Watch,5,835.91,20,3343.64,3343.64,1123.39,PayPal,Salesperson 8
100064,2025-08-15,Customer 415,City 23,Texas,USA,East,Accessories,Backpack,Backpack,8,675.02,0,5400.16,5400.16,567.69,PayPal,Salesperson 12
100065,2025-12-05,Customer 361,City 23,New York,USA,East,Accessories,Backpack,Backpack,9,798.73,15,6110.28,6110.28,2133.04,UPI,Salesperson 9
100066,2025-07-09,Customer 197,City 7,Washington,USA,West,Furniture,Chair,Chair,2,1083.32,10,1949.98,1949.98,218.94,UPI,Salesperson 19
100067,2025-10-31,Customer 233,City 12,Texas,USA,East,Fashion,Shoes,Shoes,10,428.08,0,4280.8,4280.8,1304.83,Credit Card,Salesperson 18
100068,2025-05-10,Customer 654,City 28,New York,USA,North,Electronics,Headphones,Headphones,5,73.05,0,365.25,365.25,83.79,Credit Card,Salesperson 19
100069,2025-02-22,Customer 259,City 28,New York,USA,North,Furniture,Desk,Desk,8,720.68,10,5188.9,5188.9,673.41,Credit Card,Salesperson 13
100070,2025-11-08,Customer 88,City 8,California,USA,West,Accessories,Backpack,Backpack,2,867.65,0,1735.3,1735.3,209.91,PayPal,Salesperson 20
100071,2026-03-30,Customer 305,City 28,Illinois,USA,West,Fashion,Watch,Watch,4,1164.66,15,3959.84,3959.84,798.46,UPI,Salesperson 19
100072,2025-08-01,Customer 641,City 7,Florida,USA,North,Fashion,Watch,Watch,1,916.4,0,916.4,916.4,307.77,Debit Card,Salesperson 8
100073,2026-04-27,Customer 299,City 2,Texas,USA,East,Electronics,Headphones,Headphones,9,117.22,0,1054.98,1054.98,200.76,UPI,Salesperson 15
100074,2025-07-22,Customer 436,City 4,Illinois,USA,South,Electronics,Phone,Phone,4,1386.25,20,4436.0,4436.0,1146.79,Debit Card,Salesperson 9
100075,2025-10-23,Customer 450,City 4,New York,USA,East,Electronics,Headphones,Headphones,2,94.16,10,169.49,169.49,40.79,Cash,Salesperson 9
100076,2026-03-19,Customer 753,City 11,Illinois,USA,East,Fashion,Shoes,Shoes,9,743.22,0,6688.98,6688.98,1615.19,Credit Card,Salesperson 3
100077,2025-10-03,Customer 591,City 2,Texas,USA,West,Furniture,Chair,Chair,10,882.75,0,8827.5,8827.5,3088.61,PayPal,Salesperson 15
100078,2026-05-19,Customer 94,City 16,Florida,USA,West,Furniture,Desk,Desk,3,1495.43,15,3813.35,3813.35,958.65,UPI,Salesperson 11
100079,2026-02-15,Customer 779,City 18,California,USA,West,Electronics,Phone,Phone,3,498.06,15,1270.05,1270.05,200.44,Credit Card,Salesperson 11
100080,2025-01-02,Customer 674,City 28,Illinois,USA,West,Furniture,Desk,Desk,6,178.3,15,909.33,909.33,285.1,Cash,Salesperson 2
100081,2025-02-22,Customer 209,City 9,Illinois,USA,South,Furniture,Chair,Chair,9,545.86,15,4175.83,4175.83,1039.2,UPI,Salesperson 15
100082,2025-06-12,Customer 319,City 18,California,USA,West,Accessories,Backpack,Backpack,2,48.16,20,77.06,77.06,22.8,Credit Card,Salesperson 8
100083,2025-10-26,Customer 522,City 23,Florida,USA,West,Electronics,Phone,Phone,8,1420.86,5,10798.54,10798.54,2316.95,Cash,Salesperson 16
100084,2026-06-05,Customer 765,City 29,Texas,USA,North,Furniture,Chair,Chair,8,829.14,15,5638.15,5638.15,741.22,UPI,Salesperson 14
100085,2025-11-02,Customer 602,City 19,Washington,USA,West,Stationery,Notebook,Notebook,9,404.42,0,3639.78,3639.78,569.14,Debit Card,Salesperson 15
100086,2026-01-22,Customer 467,City 30,Florida,USA,South,Fashion,Shoes,Shoes,8,520.96,20,3334.14,3334.14,953.48,Debit Card,Salesperson 19
100087,2026-04-30,Customer 723,City 30,New York,USA,West,Stationery,Pen,Pen,4,1284.74,15,4368.12,4368.12,400.93,Debit Card,Salesperson 16
100088,2025-04-13,Customer 451,City 4,Illinois,USA,West,Electronics,Laptop,Laptop,3,755.93,20,1814.23,1814.23,307.76,Credit Card,Salesperson 5
100089,2026-02-12,Customer 666,City 3,Florida,USA,West,Stationery,Pen,Pen,3,116.87,10,315.55,315.55,54.09,UPI,Salesperson 16
100090,2025-10-22,Customer 233,City 24,California,USA,West,Fashion,Shoes,Shoes,1,928.1,5,881.69,881.69,220.79,Credit Card,Salesperson 4
100091,2025-02-27,Customer 301,City 12,Florida,USA,West,Accessories,Backpack,Backpack,3,1042.53,0,3127.59,3127.59,289.04,Debit Card,Salesperson 8
100092,2025-03-22,Customer 625,City 28,New York,USA,South,Fashion,Shoes,Shoes,7,851.06,5,5659.55,5659.55,712.51,Cash,Salesperson 19
100093,2025-01-10,Customer 477,City 29,Florida,USA,South,Electronics,Headphones,Headphones,4,694.42,10,2499.91,2499.91,510.19,Credit Card,Salesperson 15
100094,2026-04-13,Customer 310,City 7,New York,USA,West,Stationery,Notebook,Notebook,10,452.24,15,3844.04,3844.04,1023.99,Credit Card,Salesperson 8
100095,2025-10-30,Customer 23,City 27,Washington,USA,West,Stationery,Pen,Pen,10,541.64,10,4874.76,4874.76,1696.55,UPI,Salesperson 1
100096,2025-10-21,Customer 795,City 26,Texas,USA,East,Fashion,Watch,Watch,1,1366.37,15,1161.41,1161.41,354.08,Debit Card,Salesperson 7
100097,2025-02-10,Customer 317,City 26,New York,USA,North,Fashion,Watch,Watch,5,1018.26,5,4836.73,4836.73,1207.38,PayPal,Salesperson 12
100098,2025-06-29,Customer 206,City 5,Illinois,USA,East,Electronics,Headphones,Headphones,2,1364.89,10,2456.8,2456.8,692.37,PayPal,Salesperson 17
100099,2025-10-30,Customer 765,City 28,Florida,USA,North,Furniture,Desk,Desk,3,389.17,15,992.38,992.38,338.59,Cash,Salesperson 3
100100,2026-01-10,Customer 93,City 26,New York,USA,North,Electronics,Headphones,Headphones,4,1290.91,15,4389.09,4389.09,1497.39,UPI,Salesperson 18
100101,2026-01-16,Customer 111,City 22,Texas,USA,West,Electronics,Phone,Phone,8,556.04,10,4003.49,4003.49,952.15,Credit Card,Salesperson 20
100102,2026-04-21,Customer 718,City 10,Washington,USA,West,Fashion,Shoes,Shoes,6,1373.31,5,7827.87,7827.87,1995.06,Credit Card,Salesperson 5
100103,2025-08-29,Customer 551,City 5,New York,USA,West,Electronics,Laptop,Laptop,1,460.03,15,391.03,391.03,43.54,UPI,Salesperson 18
100104,2025-04-12,Customer 502,City 20,New York,USA,East,Stationery,Pen,Pen,10,1114.69,5,10589.56,10589.56,3378.72,Credit Card,Salesperson 12
100105,2025-04-12,Customer 703,City 12,Illinois,USA,East,Furniture,Chair,Chair,8,669.82,5,5090.63,5090.63,1583.04,Credit Card,Salesperson 13
100106,2025-08-06,Customer 658,City 21,Illinois,USA,North,Furniture,Desk,Desk,4,1452.47,15,4938.4,4938.4,517.31,Credit Card,Salesperson 11
100107,2025-08-01,Customer 601,City 7,Texas,USA,East,Furniture,Chair,Chair,3,1181.53,5,3367.36,3367.36,331.77,Debit Card,Salesperson 20
100108,2025-09-14,Customer 179,City 4,Washington,USA,North,Electronics,Laptop,Laptop,5,1288.32,5,6119.52,6119.52,2121.22,Debit Card,Salesperson 1
100109,2025-02-23,Customer 130,City 24,New York,USA,North,Stationery,Notebook,Notebook,4,885.34,0,3541.36,3541.36,449.92,Credit Card,Salesperson 16
100110,2025-08-15,Customer 630,City 2,Washington,USA,East,Accessories,Backpack,Backpack,6,772.29,0,4633.74,4633.74,936.21,Cash,Salesperson 1
100111,2026-05-18,Customer 730,City 30,New York,USA,North,Electronics,Laptop,Laptop,8,1271.71,15,8647.63,8647.63,2293.75,Credit Card,Salesperson 11
100112,2025-11-29,Customer 391,City 20,Illinois,USA,East,Fashion,Watch,Watch,3,103.19,10,278.61,278.61,69.25,Cash,Salesperson 17
100113,2025-08-09,Customer 441,City 15,Texas,USA,West,Fashion,Watch,Watch,7,153.27,0,1072.89,1072.89,332.87,UPI,Salesperson 15
100114,2025-09-19,Customer 384,City 5,Washington,USA,West,Stationery,Pen,Pen,7,1095.77,10,6903.35,6903.35,1347.72,Credit Card,Salesperson 3
100115,2025-03-03,Customer 601,City 18,Illinois,USA,East,Electronics,Phone,Phone,2,650.66,10,1171.19,1171.19,350.39,Credit Card,Salesperson 14
100116,2025-11-16,Customer 361,City 4,Illinois,USA,South,Stationery,Notebook,Notebook,7,1302.8,0,9119.6,9119.6,3114.05,Debit Card,Salesperson 16
100117,2025-10-13,Customer 588,City 8,New York,USA,North,Furniture,Chair,Chair,2,528.42,20,845.47,845.47,151.54,PayPal,Salesperson 9
100118,2025-12-26,Customer 7,City 6,Texas,USA,West,Electronics,Laptop,Laptop,3,413.54,10,1116.56,1116.56,367.14,Credit Card,Salesperson 5
100119,2026-04-10,Customer 350,City 6,Florida,USA,East,Electronics,Laptop,Laptop,2,1120.44,5,2128.84,2128.84,386.54,UPI,Salesperson 19
100120,2025-02-20,Customer 691,City 3,Florida,USA,West,Fashion,Watch,Watch,2,1325.6,5,2518.64,2518.64,308.54,Cash,Salesperson 16
100121,2025-04-27,Customer 354,City 14,California,USA,East,Fashion,Watch,Watch,8,624.2,5,4743.92,4743.92,1346.49,PayPal,Salesperson 16
100122,2025-02-26,Customer 8,City 7,Florida,USA,South,Fashion,Shoes,Shoes,5,72.9,15,309.82,309.82,107.14,Debit Card,Salesperson 9
100123,2025-06-29,Customer 133,City 13,Illinois,USA,South,Furniture,Desk,Desk,6,184.38,15,940.34,940.34,264.89,PayPal,Salesperson 18
100124,2026-04-16,Customer 80,City 28,Florida,USA,West,Stationery,Notebook,Notebook,2,598.62,0,1197.24,1197.24,236.79,PayPal,Salesperson 13
100125,2025-06-25,Customer 633,City 15,Washington,USA,East,Stationery,Pen,Pen,5,177.18,0,885.9,885.9,301.98,Credit Card,Salesperson 14
100126,2026-02-10,Customer 318,City 24,Florida,USA,South,Electronics,Phone,Phone,4,656.34,15,2231.56,2231.56,494.22,UPI,Salesperson 6
100127,2025-12-24,Customer 360,City 24,Washington,USA,South,Electronics,Phone,Phone,9,951.67,20,6852.02,6852.02,1491.6,Debit Card,Salesperson 4
100128,2025-03-19,Customer 182,City 25,Washington,USA,West,Electronics,Headphones,Headphones,5,299.92,20,1199.68,1199.68,145.49,Cash,Salesperson 19
100129,2025-11-27,Customer 643,City 11,Texas,USA,West,Fashion,Watch,Watch,8,1023.29,20,6549.06,6549.06,1660.89,Credit Card,Salesperson 16
100130,2026-06-04,Customer 76,City 10,New York,USA,West,Accessories,Backpack,Backpack,5,1195.51,20,4782.04,4782.04,455.09,Credit Card,Salesperson 2
100131,2026-06-04,Customer 394,City 15,Illinois,USA,North,Stationery,Notebook,Notebook,5,119.71,0,598.55,598.55,147.27,Cash,Salesperson 19
100132,2025-03-05,Customer 462,City 4,Florida,USA,North,Furniture,Chair,Chair,6,909.48,20,4365.5,4365.5,527.06,PayPal,Salesperson 6
100133,2025-06-12,Customer 373,City 12,Florida,USA,West,Electronics,Laptop,Laptop,4,1062.89,15,3613.83,3613.83,800.46,Cash,Salesperson 11
100134,2025-04-07,Customer 572,City 22,New York,USA,East,Fashion,Watch,Watch,1,1184.89,10,1066.4,1066.4,104.29,UPI,Salesperson 20
100135,2025-11-14,Customer 672,City 23,Washington,USA,West,Electronics,Headphones,Headphones,6,126.85,5,723.04,723.04,236.81,Debit Card,Salesperson 20
100136,2026-06-24,Customer 96,City 21,Washington,USA,West,Electronics,Phone,Phone,5,840.59,10,3782.65,3782.65,1133.13,PayPal,Salesperson 12
100137,2026-05-13,Customer 197,City 8,Texas,USA,South,Electronics,Laptop,Laptop,6,466.75,5,2660.47,2660.47,458.31,Credit Card,Salesperson 10
100138,2025-12-11,Customer 785,City 20,Texas,USA,West,Electronics,Phone,Phone,9,1157.46,20,8333.71,8333.71,751.63,Debit Card,Salesperson 6
100139,2025-02-14,Customer 421,City 12,Washington,USA,South,Electronics,Headphones,Headphones,10,1214.52,5,11537.94,11537.94,3169.7,Cash,Salesperson 20
100140,2026-04-26,Customer 199,City 12,Washington,USA,West,Furniture,Desk,Desk,8,354.83,5,2696.71,2696.71,441.06,Cash,Salesperson 10
100141,2025-05-22,Customer 257,City 2,Washington,USA,West,Stationery,Pen,Pen,9,793.55,5,6784.85,6784.85,2039.26,UPI,Salesperson 18
100142,2025-06-14,Customer 280,City 15,Illinois,USA,South,Electronics,Phone,Phone,9,1277.49,10,10347.67,10347.67,1062.15,Cash,Salesperson 3
100143,2026-02-10,Customer 515,City 12,Texas,USA,West,Furniture,Chair,Chair,8,1327.52,0,10620.16,10620.16,2039.31,Credit Card,Salesperson 12
100144,2025-12-10,Customer 150,City 5,California,USA,East,Furniture,Chair,Chair,1,481.43,0,481.43,481.43,147.6,Cash,Salesperson 5
100145,2025-08-09,Customer 154,City 18,Washington,USA,West,Accessories,Backpack,Backpack,8,924.95,0,7399.6,7399.6,629.94,Credit Card,Salesperson 10
100146,2026-04-14,Customer 65,City 4,New York,USA,North,Furniture,Chair,Chair,5,187.16,5,889.01,889.01,171.89,PayPal,Salesperson 19
100147,2025-09-04,Customer 585,City 14,Texas,USA,North,Furniture,Chair,Chair,3,440.45,0,1321.35,1321.35,325.05,PayPal,Salesperson 12
100148,2026-02-04,Customer 482,City 2,Washington,USA,West,Electronics,Phone,Phone,9,818.4,20,5892.48,5892.48,1353.04,UPI,Salesperson 9
100149,2025-04-17,Customer 791,City 19,Washington,USA,East,Electronics,Laptop,Laptop,6,1183.84,10,6392.74,6392.74,927.61,Debit Card,Salesperson 2
100150,2026-04-21,Customer 713,City 16,Washington,USA,South,Stationery,Notebook,Notebook,9,511.13,5,4370.16,4370.16,1329.42,Debit Card,Salesperson 3
100151,2025-02-12,Customer 324,City 30,Florida,USA,West,Accessories,Backpack,Backpack,1,443.7,0,443.7,443.7,130.27,PayPal,Salesperson 16
100152,2025-02-18,Customer 672,City 11,Florida,USA,North,Furniture,Desk,Desk,1,1131.17,5,1074.61,1074.61,168.98,UPI,Salesperson 14
100153,2025-07-11,Customer 509,City 23,New York,USA,East,Stationery,Pen,Pen,8,1342.48,15,9128.86,9128.86,1565.96,PayPal,Salesperson 9
100154,2025-07-04,Customer 559,City 10,Florida,USA,North,Electronics,Phone,Phone,7,123.0,20,688.8,688.8,240.17,Credit Card,Salesperson 11
100155,2026-03-31,Customer 360,City 15,California,USA,East,Furniture,Desk,Desk,5,671.64,15,2854.47,2854.47,356.79,PayPal,Salesperson 14
100156,2025-06-13,Customer 32,City 5,Illinois,USA,West,Furniture,Desk,Desk,1,117.19,15,99.61,99.61,17.74,Credit Card,Salesperson 5
100157,2025-02-03,Customer 620,City 5,Washington,USA,West,Electronics,Phone,Phone,4,1168.88,10,4207.97,4207.97,748.1,UPI,Salesperson 12
100158,2025-11-18,Customer 666,City 9,Texas,USA,North,Accessories,Backpack,Backpack,2,863.01,20,1380.82,1380.82,247.27,Credit Card,Salesperson 6
100159,2025-09-24,Customer 721,City 15,Texas,USA,East,Accessories,Backpack,Backpack,9,583.55,20,4201.56,4201.56,469.72,Cash,Salesperson 7
100160,2026-04-01,Customer 90,City 26,Washington,USA,East,Electronics,Phone,Phone,3,1279.98,15,3263.95,3263.95,413.27,UPI,Salesperson 3
100161,2025-06-28,Customer 371,City 17,Texas,USA,North,Fashion,Shoes,Shoes,9,439.09,10,3556.63,3556.63,1102.08,Debit Card,Salesperson 5
100162,2026-04-24,Customer 565,City 5,Illinois,USA,North,Furniture,Chair,Chair,8,44.29,20,283.46,283.46,66.48,Credit Card,Salesperson 10
100163,2025-03-17,Customer 129,City 11,Washington,USA,North,Stationery,Pen,Pen,8,790.92,15,5378.26,5378.26,1625.86,Cash,Salesperson 15
100164,2025-07-06,Customer 787,City 5,New York,USA,North,Fashion,Shoes,Shoes,6,196.86,20,944.93,944.93,238.83,Credit Card,Salesperson 17
100165,2025-08-19,Customer 355,City 17,Florida,USA,North,Electronics,Headphones,Headphones,5,251.16,10,1130.22,1130.22,375.66,UPI,Salesperson 7
100166,2025-04-06,Customer 515,City 21,Texas,USA,South,Fashion,Shoes,Shoes,5,192.13,10,864.59,864.59,212.6,Debit Card,Salesperson 20
100167,2025-01-30,Customer 84,City 2,Washington,USA,East,Fashion,Watch,Watch,6,1264.58,20,6069.98,6069.98,553.11,Debit Card,Salesperson 19
100168,2025-10-24,Customer 658,City 10,New York,USA,South,Stationery,Pen,Pen,10,960.29,15,8162.46,8162.46,2612.23,Cash,Salesperson 10
100169,2026-05-11,Customer 476,City 7,Florida,USA,South,Accessories,Backpack,Backpack,2,1034.48,5,1965.51,1965.51,390.53,UPI,Salesperson 11
100170,2025-04-19,Customer 327,City 8,New York,USA,North,Stationery,Notebook,Notebook,7,200.5,10,1263.15,1263.15,276.69,UPI,Salesperson 15
100171,2026-03-05,Customer 255,City 28,Texas,USA,East,Furniture,Chair,Chair,3,149.73,10,404.27,404.27,135.53,PayPal,Salesperson 11
100172,2025-11-12,Customer 510,City 1,California,USA,West,Furniture,Chair,Chair,3,749.91,20,1799.78,1799.78,370.83,PayPal,Salesperson 15
100173,2026-05-22,Customer 612,City 29,Washington,USA,West,Furniture,Chair,Chair,4,877.1,0,3508.4,3508.4,328.55,UPI,Salesperson 18
100174,2026-02-17,Customer 375,City 2,New York,USA,North,Electronics,Laptop,Laptop,2,649.24,10,1168.63,1168.63,323.04,PayPal,Salesperson 18
100175,2026-04-07,Customer 783,City 18,Florida,USA,North,Furniture,Chair,Chair,6,832.07,0,4992.42,4992.42,920.17,Debit Card,Salesperson 4
100176,2026-01-10,Customer 774,City 5,Texas,USA,West,Stationery,Pen,Pen,6,1193.37,10,6444.2,6444.2,1486.13,PayPal,Salesperson 2
100177,2026-06-16,Customer 468,City 5,Illinois,USA,South,Electronics,Laptop,Laptop,1,209.87,10,188.88,188.88,56.11,UPI,Salesperson 20
